id_kursus,judul,link,link_gambar,penyelenggara,kategori,instruktor,level,rating,biaya,deskripsi,judul similiar
246,Behavioral Economics andPublic Policy,https://www.edx.org/learn/behavioral-economics/indian-institute-of-management-bangalore-behavioral-economics-and-public-policy,https://prod-discovery.edx-cdn.org/media/course/image/51d9f899-ef8d-4024-9ac4-b3b7b0ab3adf-580c726ed212.png,Indian Institute of Management B…,Economics & Finance,,Intermediate,,,"Decision Making, Psychology, Public Policies, Economics","['Monetary Policy Analysisand Forecasting', 'Principios de Economíaaplicados a Negocios', 'Principios de Economía', 'Macroeconomics ofClimate Change: Science,Economics, and Policies', 'Administración pública yfiscal: cómo se gestionaun gobierno']
"
247,VITARA - Compliance RiskManagement,https://www.edx.org/learn/economics/the-international-monetary-fund-vitara-compliance-risk-management,https://prod-discovery.edx-cdn.org/media/course/image/1477313e-e41a-4a9f-8601-94ac6506f3a9-70fb40dab2ad.png,The International Monetary Fund,Economics & Finance,,Introductory,,,None,"['Interest Rate RiskManagement in Banks/Financial Institution', 'Climate Change: FinancialRisks and Opportunities', 'Population Health: Responsible Data Analysis', 'Digital Marketing Strategy for Managers', 'KOL Management untuk Sosial Media Marketing']
"
248,Financial Development andFinancial Inclusion,https://www.edx.org/learn/financial-management/the-international-monetary-fund-financial-development-and-financial-inclusion,https://prod-discovery.edx-cdn.org/media/course/image/f9c23be1-aba6-422d-a10e-b3c02331426d-b1ccfd3b305b.small.png,The International Monetary Fund,Economics & Finance,,Intermediate,,,"Equity Markets, Financial Technology (FinTech), Financial Market, Investment Banking","['Finanzas e inversionespara no financieros', 'Fundamentos deinformación financiera ycontable', 'Dasar-Dasar Keuangan', 'Financial Programmingand Policies, Part 1:Macroeconomic Account…', 'Financial accounting andcapital markets']
"
249,Building stakeholder value,https://www.edx.org/learn/economics/university-of-cambridge-building-stakeholder-value,https://prod-discovery.edx-cdn.org/media/course/image/15d0a9ba-1ab1-44e9-a00a-152bd618ebf0-190bcbe07575.small.jpeg,University of Cambridge,Economics & Finance,,Intermediate,,,"Microsoft Outlook, Rate Of Return, Investments, Shareholder Communications, Accounting, Key Performance Indicators (KPIs), Financial Statements","['Assessing Marketing Materials', 'Pelatihan Penting Tableau', 'Creating Campaign Planning', 'Brand & Creative Strategy', 'Creating Integrated Marketing Plan']
"
250,Interest Rate RiskManagement in Banks/Financial Institution,https://www.edx.org/learn/risk-management/state-bank-of-india-interest-rate-risk-management-in-banks-financial-institution,https://prod-discovery.edx-cdn.org/media/course/image/e87f1b66-60c5-4a51-9f30-489fdd4e705c-99ba247a5aef.small.jpeg,State Bank of India,Economics & Finance,,Introductory,,,None,"['VITARA - Compliance RiskManagement', 'Macroeconomics ofClimate Change: ClimateRisks for the Financial Se…', 'Introduction to PersonalFinancial Planning', 'Introducción a lasfinanzas: Principios devaloración', 'Climate Change: FinancialRisks and Opportunities']
"
251,Fundamentos deinformación financiera ycontable,https://www.edx.org/learn/financial-accounting/universidades-anahuac-fundamentos-de-informacion-financiera-y-contable,https://prod-discovery.edx-cdn.org/media/course/image/6e599f57-f685-4676-a47a-86f16743e2a7-19ace3a9e745.small.jpg,Universidades Anáhuac,Economics & Finance,,Intermediate,,,"Trial Balance, Accounting Regulations, Accounting, Balance Sheet, Finance, Comprehensive Income","['Fundamentals of FinancialMathematics and CapitalBudgeting', 'Dasar-Dasar Keuangan', 'Financial accounting andcapital markets', 'Financial Development andFinancial Inclusion', 'Finanzas e inversionespara no financieros']
"
252,Macroeconomics ofClimate Change: ClimateRisks for the Financial Se…,https://www.edx.org/learn/climate-change/the-international-monetary-fund-macroeconomics-of-climate-change-climate-risks-for-the-financial-sector,https://prod-discovery.edx-cdn.org/media/course/image/47148d66-9e63-4c52-8e7b-8c9fc0c664f4-b700a92770b6.small.png,The International Monetary Fund,Economics & Finance,,Intermediate,,,"Research, Capacity Development, Capital Markets, Macroeconomics, Monetary Policies","['Macroeconomics ofClimate Change: Science,Economics, and Policies', 'Macroeconomics ofClimate Change: GreenPublic Finance', 'Climate Change: FinancialRisks and Opportunities', 'Macroeconomics ofClimate Change:Economics of Adaptation', 'Inclusive Growth: ClimateChange']
"
253,Evaluating Impact in Low-and Middle-IncomeCountries,https://www.edx.org/learn/economics/world-bank-group-evaluating-impact-in-low-and-middle-income-countries,https://prod-discovery.edx-cdn.org/media/course/image/45a0f892-75f0-4b7f-b349-bd94c5e3d515-1735994b374c.small.jpeg,World Bank Group,Economics & Finance,,Introductory,,,"Agriculture, Quick Learning, Randomized Controlled Trial, Innovation, Microfinance, Health Education, Human Development","['Assessing Marketing Materials', 'Building stakeholder value', 'Entrepreneurship Skala Lokal hingga Global', 'Using Email forNetworking in English', 'Introducción a lasfinanzas: Principios devaloración']
"
254,Revenue Forecasting andAnalysis,https://www.edx.org/learn/finance/the-international-monetary-fund-revenue-forecasting-and-analysis,https://prod-discovery.edx-cdn.org/media/course/image/6272a8ba-5bef-495e-a3f9-fae6abd47ed0-1d0c64496d17.small.png,The International Monetary Fund,Economics & Finance,,Intermediate,,,"Income Tax, Revenue Forecasting, Corporate Tax, Forecasting, Quantitative Modeling, Analytical Techniques","['Regression and Inferential Analysis', 'Monetary Policy Analysisand Forecasting', 'MacroeconometricForecasting', 'Información financiera ysu análisis', 'Financial Market Analysis']
"
255,Principios de Economía,https://www.edx.org/learn/economics/universidad-del-rosario-principios-de-economia,https://prod-discovery.edx-cdn.org/media/course/image/a4331bfe-588f-4df6-babe-21a964df9709-ddb1660eb0fb.small.jpeg,Universidad del Rosario,Economics & Finance,,Introductory,,,"Microeconomics, Economic Policy, Economic Growth, Economics, Macroeconomics, Decision Making, Economic Indicators","['Principios de Economíaaplicados a Negocios', 'Design Principles', 'Behavioral Economics andPublic Policy', 'Dasar-Dasar Keuangan', 'Introducción a lasfinanzas: Principios devaloración']
"
