id,created_at,title,link,organizer,category,instructor,level,rating,fee,description,image
55,2023-12-16 16:47:23.175286+00,Business Analytics with Excel: Elementary to Advanced,https://www.coursera.org/learn/business-analytics-excel,Coursera,Data Science & Data Analysis,"Joseph W. Cutrone, PhD",,4.8,Gratis,"Seorang pemimpin di dunia yang digerakkan oleh data membutuhkan pengetahuan tentang metode yang berhubungan dengan data (statistik) dan model yang tepat untuk menggunakan data tersebut. Kelas Analisis Bisnis ini berfokus pada yang terakhir: memperkenalkan siswa pada kerangka kerja analitis yang digunakan untuk pengambilan keputusan melalui pemodelan Excel. Ini termasuk Optimasi Linier dan Integer, Analisis Keputusan, dan pemodelan Risiko. Untuk setiap metodologi, siswa pertama-tama akan diperkenalkan dengan mekanisme dasar, dan kemudian menerapkan metodologi tersebut ke masalah bisnis dunia nyata menggunakan Excel. ",https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/66/e2793ae80742ccac9bdebe7f538a1c/excel-g9ac6b342d_1920.png?auto=format%2Ccompress%2C%20enhance&dpr=1&w=265&h=216&fit=crop&q=50
56,2023-12-16 16:47:23.175286+00,Business Communication,https://www.edx.org/learn/business-communications/rochester-institute-of-technology-business-communication-3,Rochester Institute of Technology,Communication,,Introductory,,,"Leadership, Business Writing, Business Communication, Non-Verbal Communication, Target Audience, Active Listening, Communications",https://prod-discovery.edx-cdn.org/media/course/image/ecca6ceb-d524-4897-9f0b-dae99b5c4257-075e4ab3f04a.small.jpeg
57,2023-12-16 16:47:23.175286+00,Business Communications- The Basics,https://www.edx.org/learn/business-communications/doane-university-business-communications-the-basics,Doane University,Communication,,Introductory,,,"Business Communication, Communications, Business Writing, Business Presentations, Emotional Intelligence, Presentations",https://prod-discovery.edx-cdn.org/media/course/image/28053d3b-64cc-4a7f-bcb6-247c4152bd6d-ee421a12f68e.small.jpeg
58,2023-12-16 16:47:23.175286+00,Business Metrics,https://myskill.id/course/business-metrics,Myskill,Data Science & Data Analysis,Rizki Teguh Kurniawan,,4.57,Berbayar,"Fokus pada materi ini akan membahas mengenai Pengetian Metrics, penjelasan Key Performance Indicator (KPI) dan Objective Key Results (OKR).",https://image.myskill.id/elearning-poster/Tf9kg77JQ1eDBYYodqER/thumbnail.png
59,2023-12-16 16:47:23.175286+00,Business WritingTechniques,https://www.edx.org/learn/business-communications/doane-university-business-writing-techniques,Doane University,Communication,,Introductory,,,"Proofreading, Business Communication, Communications, Business Writing, Business Presentations",https://prod-discovery.edx-cdn.org/media/course/image/9d815fc9-480d-417d-95c6-3d7a5193c77a-119ede776caa.small.jpeg
60,2023-12-16 16:47:23.175286+00,Campaign & Media Planning,https://myskill.id/course/campaign-planning,Myskill,Digital Marketing,Ryan Dwana,"Beginner ",4.62,Berbayar,Kamu akan mempelajari beberapa hal penting terkait content marketing pada materi kali ini. Mulai dari prinsip pada content markeiting hingga strategi-strategi yang dapat dilakukan untuk memaksimalkan content marketing,https://image.myskill.id/elearning-poster/acDJJHZxsC8mtGVn9isQ/thumbnail.png
61,2023-12-16 16:47:23.175286+00,Campaign Fundamentals,https://myskill.id/course/campaign-fundamentals,Myskill,Digital Marketing,Azka Zakiyyatuddin,"Beginner ",4.7,Berbayar,"Pada mater ini, akan disajikan informasi-informasi dasar dari campaign. Mulai dari perkenalan campaign, tipe-tipe dari campaign, hingga campaign framework.",https://image.myskill.id/elearning-poster/9VmLYz2ueLVncsHlUfc1/thumbnail.png
62,2023-12-16 16:47:23.175286+00,Campaign Monitoring & Optimization,https://myskill.id/course/campaign-monitoring-and-optimization,Myskill,Digital Marketing,Azka Zakiyyatuddin,"Beginner ",4.45,Berbayar,"Setelah mempelajari cara merancang suatu campaign, kita akan belajar bagaimana memonitor dan memaksimalkan campaign yang telah dilakukan dengan menggunakan A/B testing, analisa lebih lanjut, dan lain sebagainya. Selain itu, kita juga akan belajar cara membuat lerning and reommendations untuk campaign di masa yang akan datang.",https://image.myskill.id/elearning-poster/7w1DR1RUSW2p3SDRMqao/thumbnail.png
63,2023-12-16 16:47:23.175286+00,Canva Pro Graphic Design Course for Business Professionals,https://www.udemy.com/course/learning-canva-from-scratch/,Udemy,Graphic Design,Mugabi Imran,,4.3,Gratis,"Brand kit (Save Brand Assests like Fonts)Get access to over 60 Million Photos in our designsResize your designs to fit on any platform without re-creating them from scratchElements in Canva - Graphics, logos, an morePublish your designs on any desired Social Media PlatformsMake use of Animations and videos & SlidesDiscover the Templates library in Canva with over 5000+ free already made graphicsWork with Text and TypographyStay organized with Folders ProWorking with Backgrounds and the Powerful Automatic Background Remover tool",https://img-c.udemycdn.com/course/240x135/4054262_432a_3.jpg
64,2023-12-16 16:47:23.175286+00,Case Study: Implementing SQL,https://myskill.id/course/implementing-sql,Myskill,Data Science & Data Analysis,Rizki Basuki,,4.62,Berbayar,"Melalui video ini, kamu akan belajar mengenai SQL khususnya pada penggunaan SQL menggunakan data real. Nantinya kamu juga akan belajar mengenai WHERE, fungsi agregat, CTE, subquery, dan stored procedure.",https://image.myskill.id/elearning-poster/w6mCkRi2iy26rCKdTNVF/thumbnail.png
65,2023-12-16 16:47:23.175286+00,ChatGPT for Data Analysis,https://www.udemy.com/course/chatgpt-for-data-analysis/,Udemy,Data Science & Data Analysis,Larry G,,4.4,Gratis,"ChatGPT Proficiency: Students will become proficient in using ChatGPT as a powerful tool for data analysisData Analysis Skills: Learners will develop essential data analysis skills, including the ability to perform natural language queries on datasetsAdvanced Data Applications: Students will explore advanced applications of ChatGPT in predictive analytics, natural language processing tasksEthical Data Usage: This course will instill ethical considerations and best practices in students, ensuring they use ChatGPT responsibly",https://img-c.udemycdn.com/course/240x135/5635514_883c.jpg
66,2023-12-16 16:47:23.175286+00,Climate Change: FinancialRisks and Opportunities,https://www.edx.org/learn/climate-change/imperial-college-business-school-climate-change-financial-risks-and-opportunities,Imperial College Business SchoolImperial College London,Economics & Finance,,Intermediate,,,"Finance, Financial Market, Risk Management, Capital Markets, Financial Services, Investments",https://prod-discovery.edx-cdn.org/media/course/image/51cf8a23-cffe-4b00-a0e7-badc59927767-c43b00d27ebf.jpg
67,2023-12-16 16:47:23.175286+00,Clustering Analysis,https://myskill.id/course/clustering-analysis,Myskill,Data Science & Data Analysis,Rizki Teguh Kurniawan,,4.61,Berbayar,"Cluster adalah kumpulan objek dengan karakteristik yang mirip. Materi kali ini berhubungan dengan hal tersebut. Impelemntasi Metode analisis clustring, algoritma, Centroid-based, K-Means Clustering dan carapenggunaanya dengan phyton.",https://image.myskill.id/elearning-poster/A73zv5jhnwRk6ZY74wge/thumbnail.png
68,2023-12-16 16:47:23.175286+00,Cohort and Retention Analysis,https://myskill.id/course/cohort-retention-analysis,Myskill,Data Science & Data Analysis,Rizki Teguh Kurniawan,,4.59,Berbayar,"Pada meteri ini akan dibahas mengenai pengertian cohort analysis, retention analysis, membaca chart cohort analysis, pengertian Retention Analysis Metrics, customer lifetime value dan materi-materi lainnya.",https://image.myskill.id/elearning-poster/EXuEFS994W1szZxWdRMK/thumbnail.png
71,2023-12-16 16:47:23.175286+00,Complete Introduction into Digital Marketing for Beginners,https://www.udemy.com/course/digital-marketing-2023/,Udemy,Digital Marketing,Ing. Tomas Moravek,"Beginner ",4.6,Gratis,"Enjoy the Complete Introduction into Digital Marketing, Social Media, & SEO for Beginners. HQ Voice Over. Animated Explainers Making Learning Easy & Fun.Learn the Essentials about Product Marketing, Affiliate Marketing, Growth Hacking, YouTube Marketing, Facebook Marketing, Instagram Marketing & More.Learn the Process of Search Engine Optimisation. Start with Keywords Research. Continue with Content Creation. Accomplishing with Link Building Campaign.Understand Why you Do Not Need Any Coding Skills to Create and Optimise your Website. Learn the Fundamentals about Google Analytics & Google Tag Manager.",https://img-c.udemycdn.com/course/240x135/4766882_a6df_4.jpg
72,2023-12-16 16:47:23.175286+00,Comunicación efectivapara el líder actual,https://www.edx.org/learn/leadership/tecnologico-de-monterrey-comunicacion-efectiva-para-el-lider-actual,Tecnológico de Monterrey,Communication,,Introductory,,,"Assertiveness, Communications, Organizational Communications, Leadership, Empathy",https://prod-discovery.edx-cdn.org/media/course/image/7b1efd5f-71f7-4fd8-9875-899b5b2ec314-40583c81eea8.small.jpg
73,2023-12-16 16:47:23.175286+00,Comunicación yRedacción Digital,https://www.edx.org/learn/business-communications/universidades-anahuac-comunicacion-y-redaccion-digital,Universidades Anáhuac,Communication,,Introductory,,,"Digital Communications, Multimedia",https://prod-discovery.edx-cdn.org/media/course/image/1650b46d-97c0-464f-a978-9e7c06f16b75-cf60f2773fff.small.jpeg
74,2023-12-16 16:47:23.175286+00,Concepts of Digital Marketing: Beginner to Pro in 2 hrs-2023,https://www.udemy.com/course/concepts-of-digital-marketing-beginner-to-pro-in-3-hrs/,Udemy,Digital Marketing,Programming Hub,"Beginner ",3.8,Gratis,Understanding Digital Marketing BasicsDeveloping a Digital marketing strategyLearn to Implement and Measure Digital Marketing Tactics with PrecisionStaying up-to-date with Digital Marketing trends,https://img-c.udemycdn.com/course/240x135/5211610_3551_5.jpg
75,2023-12-16 16:47:23.175286+00,Consumer & Audience Insight,https://myskill.id/course/consumer-audience-insight,Myskill,Digital Marketing,Ryan Dwana,"Beginner ",4.6,Berbayar,"Materi kali ini akan membahas mengenai ""Creative Brief and Briefing Process"" seperti prinsip pada creative brief hingga guideline dalam creative brief.",https://image.myskill.id/elearning-poster/RVztzLfcDHdQorCm2N2j/thumbnail.png
76,2023-12-16 16:47:23.175286+00,Content Marketing,https://myskill.id/course/content-marketing,Myskill,Digital Marketing,Ryan Dwana,"Beginner ",4.64,Berbayar,Mempelajari dasar-dasar dalam membuat media pemasaran dan kampanye media sosial. Kamu akan diperkenalkan dengan berbagai macam kampanye media sosial untuk meningkatkan pemasaran. Kamu akan mempelajari cara menentukan metode kampanye yang cocok untuk produk yang kamu miliki sehingga ketertarikan konsumen dapat meningkat.,https://image.myskill.id/elearning-poster/pk2pWwkhyKunebhiEdRD/thumbnail.png
77,2023-12-16 16:47:23.175286+00,Correlation Analysis,https://myskill.id/course/correlation-analysis,Myskill,Data Science & Data Analysis,"Anugrah Rusdianto ",,4.4,Berbayar,"Pada materi ini akan berfokus pada pembahasan meliputi pengertian Analysis Method Regression, kegunaannya, pengenalan Korelasi Pearson & Koefisien Korelasi dan Statistical Significance in Correlation.",https://image.myskill.id/elearning-poster/ivmMUsDhFd1rujbEb4El/thumbnail.png
78,2023-12-16 16:47:23.175286+00,Correlation Analysis,https://myskill.id/course/correlation-analysis-data-science,Myskill,Data Science & Data Analysis,Nouval Habibie,,4.58,Berbayar,"Pada materi ini, kita akan mempelajari tentang analisis korelasi. Kita akan belajar mengenai Pengantar analisis korelasi dan korelasi pearson. Setelah mempelajari materi ini, peserta dapat mempraktikan korelasi secara langsung.",https://image.myskill.id/elearning-poster/2RsKF7Ug5ob9dJmdaIAc/thumbnail.png
79,2023-12-16 16:47:23.175286+00,Creating Campaign Planning,https://myskill.id/course/creating-campaign-planning,Myskill,Digital Marketing,Azka Zakiyyatuddin,"Beginner ",4.66,Berbayar,"Setelah memahami mengenai campaign, kali ini kita akan bersama-sama membuat rancangan campaign untuk brand tertentu. Kita akan belajar mulai dari menentukan target audiens hingga membuat KPI dan budgetnya.",https://image.myskill.id/elearning-poster/XnMhpsMVzuEcmdlku3H6/thumbnail.png
